username,language_used,language_level
Adolushanov,bg,N
Adolushanov,en,4
Adolushanov,ru,1
Alexgs,ru,1
Alexgs,bg,N
Alexgs,en,3
Alphasofia,ru,5
Alphasofia,en,5
Alphasofia,sr,2
Alphasofia,es,1
Alphasofia,fr,5
Alphasofia,it,3
Alphasofia,bg,N
Alphasofia,ja,3
Alphasofia,de,0
Altidore86,pt,4
Altidore86,bg,N
Altidore86,en,4
Altidore86,ko,1
Ambra75,bg,N
Ambra75,ru,2
Ambra75,de,2
Ambra75,en,4
Ambra75,fr,1
Ambra75,it,5
Ambra75,la,3
Amikeco,os,3
Amikeco,bg,2
Amikeco,pl,1
Amikeco,en,3
Amikeco,ru,N
Amikeco,eo,3
Amikeco,fr,1
Amikeco,it,1
Arise13,bg,N
Arise13,en,3
B0rrand,en,4
B0rrand,ru,1
B0rrand,tr,3
B0rrand,bg,N
Bimbelov,ru,4
Bimbelov,bg,N
Bimbelov,en,5
Bimbelov,es,1
Bimbelov,pt,1
Biser.popov.1997,de,1
Biser.popov.1997,en,5
Biser.popov.1997,bg,N
Biso,bg,N
Braun100,bg,N
Braun100,de,4
Braun100,en,2
Cryout,bg,N
Cryout,de,2
Cryout,en,4
Danielbonevm,bg,N
Danielbonevm,en,1
Danielbonevm,ru,1
Dimitar ot gorata,ru,2
Dimitar ot gorata,uk,4
Dimitar ot gorata,bg,N
Dimitar ot gorata,en,4
Dimitar999,bg,N
Dimitar999,en,3
Dimitar999,ru,1
DioBrandovich,en,4
DioBrandovich,fr,1
DioBrandovich,la,2
DioBrandovich,bg,N
DioBrandovich,de,4
Dmitri Lytov,sk,1
Dmitri Lytov,mk,1
Dmitri Lytov,en,3
Dmitri Lytov,be,2
Dmitri Lytov,sr,1
Dmitri Lytov,nl,2
Dmitri Lytov,eo,3
Dmitri Lytov,bg,1
Dmitri Lytov,sv,1
Dmitri Lytov,no,1
Dmitri Lytov,es,1
Dmitri Lytov,cs,1
Dmitri Lytov,uk,4
Dmitri Lytov,pl,1
Dmitri Lytov,fr,1
Dmitri Lytov,da,1
Dmitri Lytov,ru,N
Dmitri Lytov,it,1
Dmitri Lytov,de,3
Edal,fr,1
Edal,ru,4
Edal,bg,N
Edal,de,1
Edal,en,3
Edal,es,1
FusionStyleFX,bg,N
FusionStyleFX,de,1
FusionStyleFX,en,3
Gengen4ev,kit,0
Gengen4ev,ru,2
Gengen4ev,bg,N
Gengen4ev,en,2
Gerg2013,en,5
Gerg2013,ru,1
Gerg2013,sv,1
Gerg2013,bg,N
Gerg2013,da,1
Gerg2013,de,3
Gogo9933,bg,N
Gogo9933,en,5
Ikonact,bg,N
Ikonact,en,3
Ikonact,es,1
Ikonact,fr,3
Ikonact,ru,2
InsomniHat,bg,N
InsomniHat,en,3
Ivo3004,bg,N
IzErGiL,ru,2
IzErGiL,de,1
IzErGiL,en,1
IzErGiL,grc,0
Jfblanc,hr,2
Jfblanc,csb,1
Jfblanc,sk,2
Jfblanc,pt,1
Jfblanc,hsb,1
Jfblanc,dsb,1
Jfblanc,sr,1
Jfblanc,bg,1
Jfblanc,ro,1
Jfblanc,it,3
Jfblanc,en,5
Jfblanc,uk,1
Jfblanc,bs,2
Jfblanc,ru,1
Jfblanc,kg,1
Jfblanc,es,5
Jfblanc,ca,3
Jfblanc,sc,1
Jfblanc,la,2
Jfblanc,fr,N
Jfblanc,cs,5
Jfblanc,sh,2
Jfblanc,oc,4
Josep Maria Roca Peña,mk,1
Josep Maria Roca Peña,es,4
Josep Maria Roca Peña,ru,2
Josep Maria Roca Peña,mo,1
Josep Maria Roca Peña,fr,1
Josep Maria Roca Peña,bg,1
Josep Maria Roca Peña,sr,2
Josep Maria Roca Peña,oc,2
Josep Maria Roca Peña,gl,3
Josep Maria Roca Peña,bs,1
Josep Maria Roca Peña,pt,4
Josep Maria Roca Peña,hr,1
Josep Maria Roca Peña,ca,N
Josep Maria Roca Peña,pt-BR,3
Josep Maria Roca Peña,it,2
Josep Maria Roca Peña,en,3
Josep Maria Roca Peña,ro,2
Just4Nick,en,3
Just4Nick,mk,1
Just4Nick,ru,1
Just4Nick,bg,N
Justine.toms,fr,3
Justine.toms,ru,3
Justine.toms,bg,N
Justine.toms,en,3
Ket,en,3
Ket,es,2
Ket,ru,3
Ket,bg,N
Laveol,bg,N
Laveol,de,1
Laveol,en,4
Laveol,ru,2
Liglioto,de,5
Liglioto,en,5
Liglioto,ru,2
Liglioto,bg,N
Litev,ru,2
Litev,bg,N
Litev,en,4
Litev,fr,1
MasterOfEducation,en,4
MasterOfEducation,hr,2
MasterOfEducation,bg,N
MasterOfEducation,de,5
Matboy12,bg,N
Matboy12,en,4
Matboy12,es,5
Matios34,de,1
Matios34,en,2
Matios34,ru,N
Matios34,bg,4
Mihail Balabanov,ru,2
Mihail Balabanov,bg,N
Mihail Balabanov,en,3
Mimiyokihni,ru,2
Mimiyokihni,bg,N
Mimiyokihni,en,3
Mishoni1,ru,3
Mishoni1,bg,N
Mishoni1,en,3
Mishoni1,fr,1
Mnyr1,fr,2
Mnyr1,nl,5
Mnyr1,no,1
Mnyr1,bg,N
Mnyr1,ru,4
Mnyr1,en,N
Mnyr1,sv,1
Mnyr1,es,2
MosheNik,mk,2
MosheNik,ru,1
MosheNik,sr,1
MosheNik,bg,N
MosheNik,en,3
MosheNik,fr,2
Murito7,ja,1
Murito7,bg,N
Murito7,en,3
Nauka,en,1
Nauka,bg,N
Nauka,de,0
Neau,sr,2
Neau,bg,N
Neau,de,3
Neau,en,4
Neau,it,2
Neau,mk,3
Niknik660123,bg,N
Niknik660123,en,3
Niknik660123,ru,3
Patlack,ru,3
Patlack,sr,1
Patlack,tr,1
Patlack,bg,N
Patlack,uk,1
Patlack,en,3
Patlack,ro,1
Pl71,bg,N
QuaTaC,en,2
QuaTaC,bg,N
RozaSnow,es,2
RozaSnow,bg,N
RozaSnow,en,4
Scroch,cu,1
Scroch,en,2
Scroch,mk,2
Scroch,ru,2
Scroch,sr,1
Scroch,bg,N
Shokoban,bg,N
Shokoban,en,N
Shokoban,fr,2
Skl1750,ru,1
Skl1750,bg,N
Skl1750,en,5
Skl1750,fr,1
Skl1750,nl,3
StanProg,bg,N
StanProg,en,3
StanProg,ru,1
Ted Masters,bg,N
Ted Masters,de,2
Ted Masters,en,4
Ted Masters,es,1
Ted Masters,ru,1
Tropcho,sr,1
Tropcho,es,2
Tropcho,fr,2
Tropcho,mk,4
Tropcho,bg,N
Tropcho,nl,2
Tropcho,de,3
Tropcho,ru,1
Tropcho,en,4
V111P,bg,N
V111P,en,3
VladislavNedelev,de,1
VladislavNedelev,en,3
VladislavNedelev,bg,N
VladislavNedelev,da,2
Vodnokon4e,ru,3
Vodnokon4e,sk,1
Vodnokon4e,bg,N
Vodnokon4e,cs,2
Vodnokon4e,en,4
Xunonotyk,bg,N
Xunonotyk,de,3
Xunonotyk,en,5
Xunonotyk,ru,3
Yopdan,en,3
Yopdan,ru,5
Yopdan,bg,N
Yopdan,de,1
Zelenkroki,de,1
Zelenkroki,en,1
Zelenkroki,ru,2
