username,language_used,language_level
Che12Guevara,hi,1
Che12Guevara,en,4
Che12Guevara,bn,N
Jhalmuri,bn,N
Mouryan,en,4
Mouryan,ta,1
Mouryan,hif,2
Mouryan,bn,N
Mouryan,hi,3
Mouryan,te,4
NR Nayeem,bn,N
Nirzak,hi,4
Nirzak,en,4
Nirzak,bn,N
NusJaS,as,1
NusJaS,bn,N
NusJaS,en,2
NusJaS,bpy,1
Podangtang,ccp,2
Podangtang,en,2
Podangtang,hi,2
Podangtang,bn,2
RIT RAJARSHI,bn,N
RIT RAJARSHI,en,2
S Shamima Nasrin,en,4
S Shamima Nasrin,ko,3
S Shamima Nasrin,bn,N
S Shamima Nasrin,de,1
Sojol Rana,hi,2
Sojol Rana,bn,N
Sojol Rana,en,3
Syedsadi387681,ar,1
Syedsadi387681,tl,0
Syedsadi387681,simple,1
Syedsadi387681,ne,1
Syedsadi387681,hi,N
Syedsadi387681,de,0
Syedsadi387681,bo,0
Syedsadi387681,no,0
Syedsadi387681,ur,1
Syedsadi387681,ta,1
Syedsadi387681,as,3
Syedsadi387681,pa,0
Syedsadi387681,id,0
Syedsadi387681,te,1
Syedsadi387681,ru,0
Syedsadi387681,bn,N
Syedsadi387681,kn,0
Syedsadi387681,en,1
Syedsadi387681,bpy,3
Syedsadi387681,fr,0
Syedsadi387681,sat,1
Tanbirzx,ur,1
Tanbirzx,bn,N
Tanbirzx,hi,2
Tanbirzx,en,4
Wikitanvir,as,2
Wikitanvir,bpy,1
Wikitanvir,en,3
Wikitanvir,de,2
Wikitanvir,bn,N
Zahinwadud,bn,N
