username,language_used,language_level
148LENIN,ca,1
Acomasga,oc,1
Acomasga,ca,N
Acomasga,en,N
Acomasga,es,3
Acomasga,fr,2
Acomasga,gl,2
Acomasga,an,4
Adealeksandra,en,4
Adealeksandra,es,4
Adealeksandra,it,3
Adealeksandra,bg,N
Adealeksandra,ca,4
Adr mm,ca,5
Adr mm,oc,1
Adr mm,sc,3
Adriaesc,en,3
Adriaesc,es,N
Adriaesc,ca,N
Adriaesc,de,1
Adriens,en,4
Adriens,es,N
Adriens,fr,2
Adriens,ca,N
Adriens,de,3
AdriánPlaBer,en,3
AdriánPlaBer,es,N
AdriánPlaBer,ca,N
Agapito,es,N
Agapito,fr,2
Agapito,ca,N
Agapito,en,3
Agm,ca,N
Aidalova,en,2
Aidalova,es,N
Aidalova,fr,0
Aidalova,ca,N
AlKchofa,en,4
AlKchofa,es,N
AlKchofa,ca,N
Albert SN,it,1
Albert SN,ca,N
Albert SN,oc,1
Albert SN,en,1
Albert SN,pt,1
Albert SN,es,4
Albert SN,fr,1
Albert SN,an,1
Albert SN,gl,1
Albert SN,ast,1
AlbertRA,ca,N
AlbertRA,en,2
AlbertRA,es,4
AlbertRS,fr,2
AlbertRS,it,1
AlbertRS,ca,N
AlbertRS,oc,1
AlbertRS,de,1
AlbertRS,pt,1
AlbertRS,en,4
AlbertRS,es,N
Alexis900,ca,N
Alexis900,en,2
Alexis900,es,N
Alexis900,sms,1
Algola1989,en,3
Algola1989,es,N
Algola1989,ca,N
Alvaro Vidal-Abarca,es,N
Alvaro Vidal-Abarca,eu,1
Alvaro Vidal-Abarca,ca,N
Alvaro Vidal-Abarca,fr,1
Alvaro Vidal-Abarca,de,2
Alvaro Vidal-Abarca,pt,3
Alvaro Vidal-Abarca,en,3
Alvaro Vidal-Abarca,eo,1
Alyebard,en,4
Alyebard,es,N
Alyebard,fr,2
Alyebard,ca,N
AmaryllisGardener,ca,0
AmaryllisGardener,en,N
AmaryllisGardener,sco,2
Amire80,en,4
Amire80,lt,1
Amire80,eo,2
Amire80,ru,N
Amire80,es,2
Amire80,he,4
Amire80,am,1
Amire80,it,2
Amire80,ca,3
Amire80,la,1
Andiport,ca,N
Andiport,en,3
Andiport,es,N
Andrea Soler i Núñez,ca,N
Andrea Soler i Núñez,en,3
Andrea Soler i Núñez,es,4
Andrea Soler i Núñez,fr,2
Andreadowneyl,en,3
Andreadowneyl,es,N
Andreadowneyl,it,1
