username,language_used,language_level
787IYO,en,N
787IYO,ar,1
787IYO,ha,N
A Sulaiman Z,ha,N
A Sulaiman Z,en-GB,4
A Sulaiman Z,en,4
Ammarpad,fr,3
Ammarpad,en,4
Ammarpad,ha,N
Anasskoko,ar,2
Anasskoko,ha,5
Anasskoko,en,4
Dev ammar,ha,N
Esobune,en,4
Esobune,ha,5
Gwanki,en-GB,4
Gwanki,en,4
Gwanki,ha,N
Maliky,ha,N
Maliky,en,5
Saifullahi AS,en,3
Saifullahi AS,ar,1
Saifullahi AS,ha,N
Salihu Aliyu,ar,4
Salihu Aliyu,en,4
Salihu Aliyu,ha,5
Salihu Aliyu,ff,3
Yusuf Sa'adu,en,4
Yusuf Sa'adu,ha,N
Yusuf Sa'adu,en-GB,4
