username,language_used,language_level
Act,en,3
Act,he,N
Amire80,en,4
Amire80,he,5
Amire80,ca,3
Amire80,ru,N
Amire80,lt,1
Amire80,la,1
Amire80,eo,2
Amire80,am,1
Amire80,it,2
Aohana15,he,N
Aohana15,en,3
Aviadhr,en,3
Aviadhr,he,N
Aviadhr,de,1
Aviadhr,yi,1
Bharel,en,4
Bharel,es,1
Bharel,he,N
Bustan1498,en,4
Bustan1498,he,N
Bustan1498,ar,3
Bustan1498,es,2
Byc63,he,N
Byc63,en,5
Carpatianlynx,es,1
Carpatianlynx,he,N
Carpatianlynx,en,4
Carpatianlynx,nl,4
Chaimkapusta,fr,1
Chaimkapusta,en,4
Chaimkapusta,it,2
Chaimkapusta,he,N
Chaimkapusta,es,1
Chenspec,en,2
Chenspec,he,N
Cymelo,ar,1
Cymelo,it,N
Cymelo,tmr,1
Cymelo,yi,1
Cymelo,ru,1
Cymelo,he,N
Cymelo,eo,3
Cymelo,pt,1
Cymelo,fr,2
Cymelo,la,1
Cymelo,de,2
Cymelo,es,3
Cymelo,en,3
Danbus43Maalit72,he,N
Danbus43Maalit72,en,3
Dot33b,eo,2
Dot33b,he,N
Dot33b,yi,2
Dot33b,nl,1
Dot33b,ar,2
Dot33b,de,2
Dot33b,en,4
Dot33b,sv,1
Dveltz,tr,1
Dveltz,es,5
Dveltz,en,N
Dveltz,el,1
Dveltz,he,N
Dveltz,ar,1
Dveltz,it,2
Dveltz,pt,2
Dveltz,fr,3
Dveltz,ru,4
Eitan.ne,he,N
Eitan.ne,en,3
Eitan96,he,N
Eitan96,it,2
Eitan96,de,3
Eitan96,en,4
Eitan96,eo,2
Elvenking,ru,N
Elvenking,en,3
Elvenking,he,N
Elvenking,de,1
Eranb,he,N
Eranb,en,4
Etamar,en,4
Etamar,he,N
Eyalweyalw,he,N
Eyalweyalw,fr,1
Eyalweyalw,en,3
Galabra,en,4
Galabra,he,N
Galabra,ar,2
Gilbuzaglo,he,N
Gilbuzaglo,en,3
Haimlevy,he,N
Haimlevy,de,3
Haimlevy,fr,2
Haimlevy,en,4
Haimlevy,yi,4
HapHaxion,es,2
HapHaxion,en,N
Herrklara,en,5
Herrklara,abc,0
Herrklara,de,3
Herrklara,he,N
Herrklara,it,N
Herrklara,ca,0
Idanbarir,ar,3
Idanbarir,pt,3
Idanbarir,fr,2
Idanbarir,tr,2
Idanbarir,he,N
Idanbarir,en,4
Ijon,la,3
Ijon,he,N
Ijon,uk,2
Ijon,en,5
Ijon,grc,3
Illang,ase,1
Ladypine,en,3
Ladypine,he,N
Laliv g,en,N
Laliv g,he,N
Laugh Tough,ru,1
Laugh Tough,he,N
Laugh Tough,en,4
Laugh Tough,de,1
Lavis10,de,1
Lavis10,he,N
Lavis10,en,3
Mnaftalis,en,4
Mnaftalis,fr,N
Mnaftalis,he,N
Naveto,en,3
Naveto,he,N
Nimrodbr,en,4
Nimrodbr,he,N
OHALON,he,N
OHALON,en,3
Orielno,en,3
Orielno,he,N
PninaM,en,5
PninaM,he,N
Ravit,he,N
Ravit,en,3
Reuven gol,he,N
Reuven gol,yi,2
Reuven gol,en,4
Rickjpelleg,he,N
Rickjpelleg,en,N
Sagi128F17v,en,3
Sagi128F17v,he,4
Sbechler,en,4
Sbechler,de,1
Sbechler,ru,1
Sbechler,he,N
Shayol,en,4
Shayol,he,N
Sj1mor,es,2
Sj1mor,fr,1
Sj1mor,en,3
Sj1mor,ab,1
Sj1mor,eo,3
Sj1mor,simple,3
Sj1mor,he,N
TalyaNe,en,4
TalyaNe,yi,2
TalyaNe,fr,1
TalyaNe,he,N
TalyaNe,la,1
TalyaNe,tok,5
TalyaNe,ar,1
The duke,fr,1
The duke,no,1
The duke,es,1
The duke,ja,0
The duke,ar,1
The duke,en,4
The duke,zh,2
The duke,he,N
The duke,egy,1
TheNintendoGuy,de,2
TheNintendoGuy,ar,1
TheNintendoGuy,eo,1
TheNintendoGuy,zh,1
TheNintendoGuy,en,4
TheNintendoGuy,he,N
Tlazar,he,N
Tlazar,en,3
Tommyq,de,2
Tommyq,en,3
Tommyq,he,N
TsurDanino,eo,2
TsurDanino,he,N
TsurDanino,en,3
UnHommeGesund,fr,4
UnHommeGesund,it,2
UnHommeGesund,ro,1
UnHommeGesund,pl,2
UnHommeGesund,he,N
UnHommeGesund,es,3
UnHommeGesund,nl,1
UnHommeGesund,de,4
UnHommeGesund,ru,2
UnHommeGesund,en,4
UnHommeGesund,sv,1
Veritas94,en,3
Veritas94,he,N
Veritas94,fr,1
Yishaybg,en,3
Yishaybg,el,1
Yishaybg,he,N
Yshaveh,et,0
Yshaveh,he,N
Yshaveh,en,3
אביברעם,he,N
אביברעם,en,3
אברהם שוורץ,yi,4
אברהם שוורץ,he,N
אברהם שוורץ,en,1
אודוני,he,N
אודוני,en,4
אליהו52ק,en,3
אליהו52ק,he,N
אליהו52ק,ru,0
אליהו52ק,de,1
אליהו52ק,yi,1
בר שרמטיוק,he,N
בר שרמטיוק,en,3
גיא אביב,he,N
גיא אביב,ar,1
גיא אביב,en,3
דוד שי,en,3
דוד שי,he,N
דולב,he,N
דולב,en,4
חברהסודית,he,N
חברהסודית,en,3
יונה בנדלאק,fr,4
יונה בנדלאק,en,3
יונה בנדלאק,he,N
ילד מסכן וחכם,he,N
ילד מסכן וחכם,ar,0
ילד מסכן וחכם,ro,0
ילד מסכן וחכם,pl,0
ילד מסכן וחכם,ms,0
ילד מסכן וחכם,en,0
ילד מסכן וחכם,hu,0
ילד מסכן וחכם,fr,0
ילד מסכן וחכם,it,0
ילד מסכן וחכם,bg,0
ילד מסכן וחכם,ru,0
ילד מסכן וחכם,es,0
ליבליך,en,4
ליבליך,he,N
ליבליך,fr,1
ליזה ברסלר,en,4
ליזה ברסלר,he,N
