username,language_used,language_level
2006nishan178713,en,N
2006nishan178713,hi,N
2006nishan178713,bn,3
Ahmed Nisar,te,4
Ahmed Nisar,ur,N
Ahmed Nisar,hi,3
Ahmed Nisar,en,4
Amanbisauri,mai,1
Amanbisauri,sa,2
Amanbisauri,ceb,1
Amanbisauri,bho,N
Amanbisauri,ur,1
Angpradesh,anp,N
Angpradesh,en,2
Angpradesh,hi,N
AryamanA,hi,N
AryamanA,sa,1
AryamanA,zh,2
AryamanA,cmn,2
AryamanA,en,N
AryamanA,pa,2
Dineshswamiin,tl,1
Dineshswamiin,en,3
Dineshswamiin,hi,4
Dineshswamiin,sa,2
Goutam1962,en,4
Goutam1962,hi,4
Goutam1962,bn,N
Haoreima,hi,N
Helloajnabi,hi,1
Helloajnabi,en,N
Innocentbunny,sa,1
Innocentbunny,bn,4
Innocentbunny,ne,1
Innocentbunny,ar,1
Innocentbunny,as,1
Innocentbunny,en,5
Innocentbunny,mai,4
Innocentbunny,fa,1
Innocentbunny,fr,2
Innocentbunny,pa,2
Innocentbunny,mr,1
Innocentbunny,ur,3
Innocentbunny,gu,2
Innocentbunny,hi,N
Rocky 734,hi,4
Rocky 734,or,4
Rocky 734,en,5
Rocky 734,hif,1
Rocky 734,sat,N
Saileshpat,or,N
Saileshpat,bn,1
Saileshpat,hi,3
Saileshpat,en,4
Umarkairanvi,ur,N
Umarkairanvi,fa,1
Umarkairanvi,hi,3
Umarkairanvi,en,1
Veggieramen,hi,3
Veggieramen,en,4
咽頭べさ,my,2
咽頭べさ,ko,2
咽頭べさ,hi,1
咽頭べさ,th,2
咽頭べさ,en,2
咽頭べさ,zh,2
咽頭べさ,mnw,N
咽頭べさ,ja,2
