username,language_used,language_level
-Gianpaolo,it,N
-Gianpaolo,la,0
-Gianpaolo,en,4
-Gianpaolo,eo,1
-Gianpaolo,es,2
-Luzerne-,de,1
-Luzerne-,en,4
-Luzerne-,fr,3
-Luzerne-,it,N
-Luzerne-,zh,1
.mau.,de,2
.mau.,en,3
.mau.,it,N
.mau.,la,1
12Akragas12,es,2
12Akragas12,it,N
12Akragas12,scn,N
12Akragas12,en,2
2000nic,fr,1
2000nic,it,N
2000nic,la,2
2000nic,en,4
2000nic,es,2
2zita2,en,4
2zita2,es,2
2zita2,fr,4
2zita2,it,N
2zita2,de,4
31NOVA,fr,N
31NOVA,it,2
31NOVA,de,0
31NOVA,ja,1
31NOVA,en,4
31NOVA,eo,1
31NOVA,es,0
3Pappa3,en,2
3Pappa3,fr,1
3Pappa3,it,N
3Pappa3,la,1
ATerra99,en,3
ATerra99,fr,1
ATerra99,it,N
Accurimbono,it,N
Accurimbono,la,1
Accurimbono,en,3
Accurimbono,fr,1
AchilleT,it,3
AchilleT,en,3
AchilleT,fr,N
Adert,en,2
Adert,it,N
Aethelfirth,fr,2
Aethelfirth,it,N
Aethelfirth,scn,N
Aethelfirth,de,2
Aethelfirth,en,4
Aethelfirth,es,4
Agilix,en,3
Agilix,it,N
AlMo18,es,2
AlMo18,it,N
AlMo18,de,1
AlMo18,en,3
AlbertoPanza62,it,N
AlbyConversi,it,N
AlbyConversi,kr,1
AlbyConversi,en,4
AlbyConversi,fr,1
Albysprx,en,2
Albysprx,it,N
Aldolat,en,3
Aldolat,it,N
Alee3040,en,2
Alee3040,fr,2
Alee3040,it,N
Alee3040,la,2
AlessandraNicolini,en,3
AlessandraNicolini,it,N
AlessandraNicolini,ja,3
Alessandro.colombo.2,it,N
Alessandro.colombo.2,lmo,2
Alessandro.colombo.2,en,4
Alessandro.colombo.2,es,1
Alessandro.colombo.2,fr,3
AlessandroAM,en,3
AlessandroAM,es,2
AlessandroAM,fr,1
AlessandroAM,it,N
AlessandroAM,scn,4
AlessioMela,en,3
AlessioMela,fr,1
AlessioMela,it,N
AlessioMela,la,1
Alestel98,it,N
Alestel98,en,3
Alestel98,es,1
Alestel98,fr,1
Alex Arnz,en,3
Alex Arnz,es,1
Alex Arnz,fr,1
Alex Arnz,he,1
Alex Arnz,it,N
Alex Arnz,de,N
Alexander 5502,en,3
Alexander 5502,es,2
Alexander 5502,it,N
Alfa1981,en,2
Alfa1981,es,1
Alfa1981,fr,2
Alfa1981,it,N
Alfa1981,de,2
Alfaveyron,en,2
Alfaveyron,fr,2
Alfaveyron,it,N
Aliochka,it,N
Aliochka,en,3
Aliochka,es,3
Aliochka,fr,3
Alispezzate,es,1
Alispezzate,it,N
Alispezzate,en,2
Allstar89,it,N
Allstar89,en,3
Allstar89,fr,2
Amalia De Luigi,de,2
Amalia De Luigi,en,3
Amalia De Luigi,es,1
Amalia De Luigi,fr,1
Amalia De Luigi,it,N
AmaliaMM,fr,3
AmaliaMM,it,N
Ambra75,en,5
Ambra75,fr,1
Ambra75,it,5
Ambra75,la,3
Ambra75,bg,N
Ambra75,ru,2
Ambra75,de,2
Amire80,ru,N
Amire80,it,2
Amire80,en,4
Amire80,la,1
Amire80,eo,2
Amire80,lt,1
Amire80,es,2
Amire80,oc,1
Amire80,fr,1
Amire80,am,1
Amire80,pt,1
Amire80,he,4
Amire80,ca,3
Amivaleo,it,N
Amux,pt,2
Amux,en,3
Amux,it,N
AndaPik,en,2
AndaPik,es,1
AndaPik,it,N
Andonnie,en,2
Andonnie,it,N
Andonnie,la,1
Andrea 1204,fr,1
Andrea 1204,it,N
Andrea 1204,en,2
Andrejevic,nap,N
Andrejevic,sr,1
Andrejevic,zh,3
Andrejevic,en,N
Andrejevic,it,N
AndréasTTT,en,3
AndréasTTT,it,N
Angola,en,1
Angola,fr,2
Angola,it,N
Angy24,en,3
Angy24,it,N
AnisKoutsi,de,0
AnisKoutsi,el,2
AnisKoutsi,en,3
AnisKoutsi,it,3
AnisKoutsi,sq,N
Antal,fr,4
Antal,hu,3
Antal,it,N
Antal,de,1
Antal,en,2
Antal,es,2
Antenor81,it,N
Antenor81,ru,3
AntoWeb,en,3
AntoWeb,it,N
AntoWeb,pt,2
Antonella Nigro,en,2
Antonella Nigro,es,3
Antonella Nigro,it,N
Antonella Nigro,la,1
Antonio Caruso,it,N
Aplateofraviolas,fr,1
Aplateofraviolas,it,N
Aplateofraviolas,de,1
Aplateofraviolas,en,2
Aplateofraviolas,es,2
Arancia22,en,2
Arancia22,it,N
Archeolucia,fr,3
Archeolucia,it,N
Archeolucia,de,1
Archeolucia,en,3
Archignere,fr,1
Archignere,it,N
Archignere,la,1
Archignere,en,4
Archignere,es,1
Arosio Stefano,en,2
Arosio Stefano,it,N
Artafinde,it,N
Artafinde,ja,1
Artafinde,en,3
Artafinde,fr,2
Artisto,en,3
Artisto,fr,4
Artisto,he,1
Artisto,it,N
Arturo94,en,5
Arturo94,es,1
Arturo94,fr,3
Arturo94,it,N
Asgaw,it,N
Asgaw,en,2
Asgaw,fr,1
Astio k,fr,2
Astio k,it,N
Astio k,la,1
Astio k,en,2
AstralOdysseus,en,4
AstralOdysseus,eo,2
AstralOdysseus,es,1
AstralOdysseus,fr,1
AstralOdysseus,it,N
AstralOdysseus,de,3
Astridula,de,2
Astridula,en,3
Astridula,fur,N
Astridula,it,N
AstroSofia,en,3
AstroSofia,it,N
Asþont,en,5
Asþont,fr,3
Asþont,it,N
Asþont,la,1
Asþont,nap,N
Atelierimmagine,en,1
Atelierimmagine,fr,2
Atelierimmagine,it,N
AttoRenato,fr,2
AttoRenato,it,N
AttoRenato,la,2
AttoRenato,de,1
AttoRenato,lij,3
AttoRenato,en,3
AttoRenato,es,1
Aury88,it,N
Aury88,scn,1
Aury88,en,2
Aury88,es,1
