username,language_used,language_level
AKJ GOWDA,en,2
AKJ GOWDA,ml,3
AKJ GOWDA,kn,N
AKJ GOWDA,tcy,1
Chandanv89,hi,2
Chandanv89,ml,1
Chandanv89,en,3
Chandanv89,ta,1
Chandanv89,te,1
Chandanv89,sa,1
Chandanv89,ur,1
Chandanv89,kn,N
Lokesha Kunchadka,kn,N
Lokesha Kunchadka,ml,1
Lokesha Kunchadka,en,4
Lokesha Kunchadka,tcy,4
Mahaveer Indra,tcy,4
Mahaveer Indra,en,1
Mahaveer Indra,kn,4
Manjappabg,en,4
Manjappabg,sa,5
Manjappabg,kn,N
Manjappabg,hi,2
Pavanaja,tcy,4
Pavanaja,kn,N
Pavanaja,hi,2
Pavanaja,ml,1
Pavanaja,en,4
Pranavshivakumar,hi,2
Pranavshivakumar,kn,N
Pranavshivakumar,en,4
Prnhdl,en,2
Prnhdl,kn,N
Prnhdl,hi,2
Soorya Hebbar,kn,4
Soorya Hebbar,sa,5
Soorya Hebbar,hi,2
Soorya Hebbar,tcy,2
Soorya Hebbar,en,1
ಮಲ್ನಾಡಾಚ್ ಕೊಂಕ್ಣೊ,kn,4
ಮಲ್ನಾಡಾಚ್ ಕೊಂಕ್ಣೊ,hi,2
ಮಲ್ನಾಡಾಚ್ ಕೊಂಕ್ಣೊ,mr,1
ಮಲ್ನಾಡಾಚ್ ಕೊಂಕ್ಣೊ,en,3
ಮಲ್ನಾಡಾಚ್ ಕೊಂಕ್ಣೊ,sa,1
