username,language_used,language_level
Andrawaag,nl,N
Andrawaag,en,5
Andrawaag,fr,3
Gadogado123,nl,N
Gadogado123,en,5
Gadogado123,pt,3
Gisbert K,la,3
Gisbert K,de,N
Gisbert K,en,2
Gisbert K,grc,1
Hippo300,nl,N
Hippo300,la,2
Hippo300,de,1
Hippo300,fr,2
Hippo300,en,4
Huguespotter,nl,2
Huguespotter,fr,N
Huguespotter,en,3
Huguespotter,la,1
Ildsjel,de,2
Ildsjel,nl,N
Ildsjel,en,5
Ildsjel,fr,1
Lottebelice,en,4
Lottebelice,fr,1
Lottebelice,de,1
Lottebelice,es,2
Lottebelice,nl,N
MarcoSwart,de,2
MarcoSwart,fr,2
MarcoSwart,la,2
MarcoSwart,id,1
MarcoSwart,en,4
MarcoSwart,nl,N
MaximV.,de,1
MaximV.,fr,2
MaximV.,vls,2
MaximV.,en,4
MaximV.,nl,N
Mbch331,en,3
Mbch331,nn,0
Mbch331,fr,1
Mbch331,de,1
Mbch331,nb,0
Mbch331,nl,N
Mbch331,el,0
Mdegraaff,fr,4
Mdegraaff,de,5
Mdegraaff,nl,N
Mdegraaff,en,5
Ogidya,en,5
Ogidya,eo,1
Ogidya,fr,1
Ogidya,nl,N
Ogidya,de,2
Polyglot,de,3
Polyglot,en,4
Polyglot,es,4
Polyglot,fr,4
Polyglot,tr,0
Polyglot,it,2
Polyglot,nl,N
Polyglot,el,0
Polyglot,ru,1
RabinMan,en,5
RabinMan,fr,2
RabinMan,ru,0
RabinMan,nl,N
RabinMan,de,2
Reiziger82,de,3
Reiziger82,en,4
Reiziger82,es,1
Reiziger82,nl,N
Reiziger82,fr,1
RonnieV,nl,N
RonnieV,en,3
RonnieV,pt,1
RonnieV,fr,2
RonnieV,de,2
Siebrand,af,1
Siebrand,fr,1
Siebrand,de,1
Siebrand,la,1
Siebrand,nl,N
Siebrand,en,3
Strepulah,fr,1
Strepulah,nl,N
Strepulah,en,3
Strepulah,de,1
Wardsegers,en,2
Wardsegers,nl,N
Wardsegers,fr,2
Wardsegers,de,1
Whatsabrinalikes,en,3
Whatsabrinalikes,nl,N
Wikidrinker,ru,N
Wikidrinker,fr,1
Wikidrinker,nl,N
Wikidrinker,de,1
Wikidrinker,en,2
Wikidrinker,grc,1
Wikidrinker,la,1
Wwian1,de,2
Wwian1,en,2
Wwian1,nl,N
Èl-Gueuye-Noere,en,4
Èl-Gueuye-Noere,da,1
Èl-Gueuye-Noere,nl,4
Èl-Gueuye-Noere,fr,N
Èl-Gueuye-Noere,wa,2
Èl-Gueuye-Noere,nb,1
