username,language_used,language_level
4ing,nn,2
4ing,en,3
4ing,nb,N
90sveped,en,3
90sveped,is,1
90sveped,nb,N
90sveped,nn,3
90sveped,da,3
90sveped,ru,2
90sveped,de,2
90sveped,sv,3
AFNDG,sv,2
AFNDG,de,2
AFNDG,en,3
AFNDG,fi,2
AFNDG,nn,3
AFNDG,no,N
AFNDG,da,2
Ahhh25,nn,2
Ahhh25,no,N
Ahhh25,da,2
Ahhh25,sv,1
Ahhh25,de,1
Ahhh25,en,2
Ahhh25,nb,N
Aleksander Grønnestad (WMNO),en,3
Aleksander Grønnestad (WMNO),nn,2
Aleksander Grønnestad (WMNO),no,N
Aleksander Grønnestad (WMNO),de,1
Alex1611,no,4
Alex1611,da,1
Alex1611,ru,1
Alex1611,de,2
Alex1611,sv,2
Alex1611,en,4
Alex1611,is,0
Alex1611,nn,N
Apple farmer,en,2
Apple farmer,nn,2
Apple farmer,no,N
Apple farmer,sv,1
Apple farmer,da,1
Apple farmer,de,1
Aremeriel,no,N
Aremeriel,en,4
Aremeriel,fr,2
Asav,pt,1
Asav,de,N
Asav,en,N
Asav,fr,2
Asav,la,1
Asav,nb,N
Avilena,en,3
Avilena,nn,4
Avilena,no,N
Avilena,de,2
BjørnN,nn,2
BjørnN,no,N
BjørnN,sv,1
BjørnN,da,1
BjørnN,de,4
BjørnN,en,2
Bksm,nn,N
Bksm,no,N
Bksm,sv,2
Bksm,da,2
Bksm,de,2
Bksm,en,3
BoholMappingAndRoutes,it,0
BoholMappingAndRoutes,ia,0
BoholMappingAndRoutes,en,N
BoholMappingAndRoutes,no,1
BoholMappingAndRoutes,jv,0
BoholMappingAndRoutes,id,1
BoholMappingAndRoutes,eo,0
BoholMappingAndRoutes,pt,0
BoholMappingAndRoutes,af,0
BoholMappingAndRoutes,ms,1
BoholMappingAndRoutes,ie,0
BoholMappingAndRoutes,es,0
BoholMappingAndRoutes,simple,N
BoholMappingAndRoutes,ceb,2
BoholMappingAndRoutes,nb,1
BoholMappingAndRoutes,io,0
BoholMappingAndRoutes,fo,1
BoholMappingAndRoutes,sv,1
BoholMappingAndRoutes,da,1
BoholMappingAndRoutes,nl,0
BoholMappingAndRoutes,is,1
BoholMappingAndRoutes,fr,0
BoholMappingAndRoutes,tl,1
BoholMappingAndRoutes,de,0
BoholMappingAndRoutes,nn,0
Cavernia,nb,3
Cavernia,de,1
Cavernia,en,2
Danieama,nb,N
Danieama,nn,4
Danieama,se,1
Danieama,sv,3
Danieama,da,2
Danieama,en,4
Danmichaelo,en,3
Danmichaelo,nb,N
Danmichaelo,ru,1
Danmichaelo,ar,1
Danmichaelo,de,1
Debussylaan,en,3
Debussylaan,no,N
Deggro,en,3
Deggro,fr,2
Deggro,gsw,N
Deggro,it,1
Deggro,no,1
Deggro,de,4
Desoda,en,3
Desoda,nn,2
Desoda,no,N
Dizzi90,en,4
Dizzi90,nn,1
Dizzi90,no,N
Dizzi90,de,2
Dmitri Lytov,be,2
Dmitri Lytov,sr,1
