username,language_used,language_level
AryamanA,en,N
AryamanA,hi,N
AryamanA,gu,1
AryamanA,zh,2
AryamanA,es,1
AryamanA,sa,1
AryamanA,pa,2
Baljeet Bilaspur,pa,N
Baljeet Bilaspur,en,2
Baljeet Bilaspur,hi,2
Benipal hardarshan,hi,4
Benipal hardarshan,pa,N
Benipal hardarshan,en,N
Charan Gill,pa,N
Dr.klara,en,4
Dr.klara,hi,3
Dr.klara,pa,N
Dugal harpreet,pa,N
Guglani,de,1
Guglani,pa,N
Guglani,ru,1
Guglani,en,4
Guglani,hi,4
Gurlal Maan,pa,N
Gurlal Maan,en,2
Gurlal Maan,hi,2
Harvinder Chandigarh,ur,3
Harvinder Chandigarh,en,3
Harvinder Chandigarh,pa,N
Harvinder Chandigarh,hi,4
Harvinder Chandigarh,pnb,3
Jagseer S Sidhu,en,2
Jagseer S Sidhu,hi,2
Jagseer S Sidhu,pa,N
Jagvir Kaur,pa,N
Kamal samaon,hi,2
Kamal samaon,pa,N
Kamal samaon,en,2
Mulkh Singh,pa,N
Mulkh Singh,hi,4
Mulkh Singh,en,1
Mulkh Singh,ur,1
Ninder Brar Farmer,pa,N
Ninder Brar Farmer,en,2
Ninder Brar Farmer,hi,2
Nirmal Brar Faridkot,ur,4
Nirmal Brar Faridkot,pa,N
Nirmal Brar Faridkot,en,4
Nirmal Brar Faridkot,hi,4
Nirmal Brar Faridkot,fa,1
Nitesh Gill,pa,N
Param munde,en,4
Param munde,hi,4
Param munde,pa,N
Parveer Grewal,pa,N
Parveer Grewal,hi,2
Parveer Grewal,en,3
Raman Deep,en,2
Raman Deep,hi,2
Raman Deep,pa,N
Satdeep Gill,pnb,4
Satdeep Gill,fr,3
Satdeep Gill,hi,3
Satdeep Gill,pa,N
Satdeep Gill,es,2
Satdeep Gill,fa,1
Satdeep Gill,ur,3
Satdeep Gill,en,4
Satpal Dandiwal,hi,2
Satpal Dandiwal,mr,1
Satpal Dandiwal,en,3
Satpal Dandiwal,ne,1
Satpal Dandiwal,pa,N
Simranjeet Sidhu,pa,N
Simranjeet Sidhu,en,2
Simranjeet Sidhu,hi,2
Tamanpreet Kaur,pa,N
WikiZoomer1,pa,2
WikiZoomer1,hi,2
WikiZoomer1,de,1
WikiZoomer1,en,3
Wikilover90,pa,N
Wikilover90,en,4
Wikilover90,hi,4
عُثمان,en,N
عُثمان,pnb,2
عُثمان,pa,2
ਜਤਿੰਦਰ ਸਿੰਘ ਮਾਨ,pa,N
