username,language_used,language_level
&,en,3
&,ru,3
11111ah,en,2
11111ah,ru,N
12imom,ru,5
12imom,tly,N
12imom,tr,2
12imom,az,5
12imom,en,3
19. autobuss,ru,4
19. autobuss,uk,N
19. autobuss,de,1
19. autobuss,en,2
1kovand1,ru,N
1kovand1,en,3
1kovand1,pl,1
22mirbymirbymirby,de,1
22mirbymirbymirby,en,4
22mirbymirbymirby,et,4
22mirbymirbymirby,ru,N
22mirbymirbymirby,ar,1
A110022,ru,N
A110022,uk,3
A110022,cs,4
A110022,en,2
A5b,ru,N
A5b,en,2
AMY 81-412,en,2
AMY 81-412,ru,N
AMY 81-412,uk,N
AVRS,de,1
AVRS,en,2
AVRS,eo,1
AVRS,es,1
AVRS,ru,N
Ace111,de,2
Ace111,en,4
Ace111,fr,1
Ace111,ru,N
Adam-Yourist,inh,N
Adam-Yourist,ru,4
AdmiralHood,en,2
AdmiralHood,ru,N
Agafoklea,fr,2
Agafoklea,ru,N
Agafoklea,de,3
Agafoklea,en,4
Agehrg4,ru,N
Ahasheni,ru,N
Ahasheni,en,3
Ahatanhel,ru,3
Ahatanhel,uk,N
Aisford,ja,2
Aisford,kk,N
Aisford,ko,3
Aisford,de,1
Aisford,ru,N
Aisford,en,5
Aisford,zh,1
Aisford,eo,1
Aita45,lt,1
Aita45,ru,N
Aita45,en,3
Akkashka,ba,N
Akkashka,de,3
Akkashka,ru,N
Al-mazeratti,el,1
Al-mazeratti,en,3
Al-mazeratti,es,2
Al-mazeratti,fr,1
Al-mazeratti,is,1
Al-mazeratti,de,0
Al-mazeratti,ru,N
Ales'hon'ne,ru,N
Ales'hon'ne,uk,1
Ales'hon'ne,be,1
Ales'hon'ne,de,1
Ales'hon'ne,en,2
Alex Great,en,4
Alex Great,fr,0
Alex Great,rsl,0
Alex Great,ru,N
Alex Great,be,1
Alex Great,uk,2
Alex Great,el,0
Alex long,uk,N
Alex long,ru,N
Alex1986rus,sr,4
Alex1986rus,de,3
Alex1986rus,fr,2
Alex1986rus,ru,N
Alex1986rus,sk,3
AlexTref871,en,2
AlexTref871,ru,N
AlexZharikov,ru,N
Alexander Porohnyak,ru,N
Alexander Roumega,eo,2
Alexander Roumega,ru,N
Alexander Roumega,uk,2
Alexander Roumega,en,3
Alexei Kopylov,en,3
Alexei Kopylov,ru,N
Alexlipetsk48,ru,N
Amikeco,eo,4
Amikeco,vi,1
Amikeco,fr,2
Amikeco,it,1
Amikeco,os,3
Amikeco,bg,2
Amikeco,ru,N
Amikeco,en,3
Amikeco,tr,1
Amire80,lt,1
Amire80,en,4
Amire80,ru,N
Amire80,eo,2
Amire80,he,5
Amire80,it,2
Amire80,am,1
Amire80,la,1
Amire80,ca,3
Andrew Mikhailov,en,2
Andrew Mikhailov,ru,N
Andrew Mikhailov,be,N
Andreykor,de,2
Andreykor,en,2
Andreykor,ru,N
Anenokil,ru,N
Angelant,en,1
Angelant,ru,N
Annysta,en,2
Annysta,ru,N
Anonimouse12,yi,1
Anonimouse12,en,3
Anonimouse12,nl,1
Anonimouse12,ru,N
Anonimouse12,sv,1
Anonimouse12,af,1
Anonimouse12,uk,1
Anonimouse12,de,2
Anton Botev,fr,1
Anton Botev,lv,1
Anton Botev,ru,N
Anton Botev,en,3
Anton vk,en,2
Anton vk,es,N
Anton vk,ru,N
Anton vk,ca,3
Ararati Cactus,en,2
Ararati Cactus,hy,N
Ararati Cactus,ru,3
Arbornaos,uk,5
Arbornaos,en,1
Arbornaos,ru,N
Arevis95,de,1
Arevis95,en,2
Arevis95,ru,N
Arhat94,en,2
