username,language_used,language_level
Abdulaziz uzbek,en,3
Abdulaziz uzbek,uz,N
Abdulaziz uzbek,ru,2
Abdullo Andijoniy,uz,N
Abdullo Andijoniy,en,4
Abdullo Andijoniy,ru,5
Abdulxayeva Dilnoza,en,2
Abdulxayeva Dilnoza,uz,N
Abdulxayeva Dilnoza,tr,4
Abdulxayeva Dilnoza,ru,3
Abdumannobov,uz,N
Abdusamadjon,en,4
Abdusamadjon,uz,N
Ahror Akramovich,uz,N
Al-Akbariy,uz,N
Allanur77,uz,3
Allanur77,az,1
Allanur77,ru,2
Allanur77,en,1
Allanur77,tk,N
Allanur77,tr,2
Antikof,kaa,N
Antikof,uz,5
Aysulu Orazbaeva,kaa,N
Aysulu Orazbaeva,kk,3
Aysulu Orazbaeva,ru,2
Aysulu Orazbaeva,uz,5
Aysulu Orazbaeva,en,3
Azamat Nafiddinovich,en,4
Azamat Nafiddinovich,uz,N
AzizaAbduraimova,ru,1
AzizaAbduraimova,en,3
AzizaAbduraimova,uz,N
Bekholov,en,4
Bekholov,uz,N
Boboyev1996,en,3
Boboyev1996,uz,N
Boboyev1996,tr,2
Boboyev1996,de,2
Boboyev1996,ru,3
Brainbox 8,en,4
Brainbox 8,ru,3
Brainbox 8,uz,N
Diljahonn,uz,N
Diljahonn,ru,3
Dilmurod Rashidov,ru,2
Dilmurod Rashidov,uz,N
Diloromkhan,uz,N
Diloromkhan,ru,4
Divergent08,uz,N
Divergent08,en,3
Djumanova,uz,N
Doniyor Yóldoshev,uz,N
Doniyor Yóldoshev,ru,1
Doniyor Yóldoshev,kaa,5
Doniyor Yóldoshev,kk,5
Dr.Aselessa,uz,N
Elco7,uz,5
Elco7,kk,3
Elco7,kaa,5
FarangisOrtiqova,uz,N
Gul chap chap 04,uz,N
Guzaloybekovna,en,2
Guzaloybekovna,ru,2
Guzaloybekovna,uz,N
Hilola.Mi,uz,N
Hilola.Mi,en,3
Hilola.Mi,ru,5
Humayro,ru,2
Humayro,en,3
Humayro,uz,N
Ikromova Guli,uz,N
Im ixlosbek,uz,N
Im ixlosbek,ru,1
Im ixlosbek,tr,1
Im ixlosbek,en,1
Immortal7M,ru,3
Immortal7M,uz,N
Immortal7M,en,3
Inosham,en,3
Inosham,uz,5
Inosham,kaa,N
Inosham,ru,2
Inosham,kk,3
Jaxongir1998,uz,N
Jaxongir1998,ru,1
Jaxongir1998,en,1
Joorayeff,uz,N
Kamol Azzam,uz,N
Kamol Azzam,az,3
Kamol Azzam,tr,3
M Xasanboy,uz,N
M Xasanboy,en,3
M Xasanboy,tr,2
M Xasanboy,ru,3
Mahmudjonova Madina,uz,N
Mahmudjonova Madina,ru,3
Mahmudjonova Madina,en,5
Makhliyo1705,en,5
Makhliyo1705,uz,N
Makhliyo1705,ru,5
Malikxan,uz,N
Malikxan,tr,2
Malikxan,en,3
Mirfayzbekabdullayev.,uz,N
Mirfayzbekabdullayev.,en,3
Mirfayzbekabdullayev.,ru,2
Mirfayzbekabdullayev.,kaa,1
Miss Kamola,en,4
Miss Kamola,uz,N
Miss Kamola,tr,5
MisterA22,uz,N
MisterA22,en,4
Moxichehra,en,2
Moxichehra,ru,3
Moxichehra,uz,N
Moxichehra,ar,1
Munavvaraxon,tr,3
Munavvaraxon,uz,N
Munavvaraxon,en,3
Munavvaraxon,ru,3
Munavvaraxon,kk,2
Nataev,ru,4
Nataev,ky,2
Nataev,uz,N
Nataev,tr,3
Nataev,fr,1
Nataev,en,5
Nataeva,ru,2
Nataeva,ky,3
Nataeva,en,2
Nataeva,uz,N
Nigora1118,ru,5
Nigora1118,en,4
Nigora1118,uz,N
Nilu-navruz,en,1
Nilu-navruz,uz,N
Nilu-navruz,ru,4
Ogi.grace,ru,3
Ogi.grace,tr,2
Ogi.grace,uz,N
Ogi.grace,en,3
Ogi.grace,ja,2
Pariycha,ko,2
Pariycha,en,2
Pariycha,tr,1
Pariycha,uz,N
Rabiga Shabatova,en,1
Rabiga Shabatova,kaa,N
Rabiga Shabatova,uz,5
Rabiga Shabatova,kk,5
RadjapovaNB,uz,N
RadjapovaNB,en,1
RadjapovaNB,ru,4
Riki Puch,uz,N
Riki Puch,ru,3
Riki Puch,es,2
Riki Puch,en,3
Sakinabonu,tr,3
Sakinabonu,ru,5
Sakinabonu,uz,N
Sakinabonu,en,2
Sakinabonu,kk,2
Sakiy na0926,ar,3
Sakiy na0926,ru,3
Sakiy na0926,uz,N
Sakiy na0926,en,2
SanjarStamov,uz,N
SanjarStamov,en,1
SanjarStamov,ru,1
Sayora Ayapbergenova,kaa,5
Sayora Ayapbergenova,kk,5
Sayora Ayapbergenova,uz,N
Sayora Ayapbergenova,ru,1
Scientific Research Journal1,en,3
Scientific Research Journal1,tg,2
Scientific Research Journal1,ru,3
Scientific Research Journal1,uz,N
Senoritam03,ru,1
Senoritam03,uz,N
Senoritam03,en,5
Sevaraziyo Bahodirova,ru,1
Sevaraziyo Bahodirova,uz,N
Sevaraziyo Bahodirova,en,2
Sevaraziyo Bahodirova,tr,3
ShHamrayev,uz,N
Sindorbek,tr,1
Sindorbek,en,1
Sindorbek,uz,N
Sindorbek,ru,1
Umarxon III,ru,5
Umarxon III,uz,N
Umarxon III,en,4
Umidjon Yuldashev,uz,N
Uzesthetique,uz,N
Uzesthetique,tr,2
Uzesthetique,ru,2
Uzesthetique,de,2
Uzesthetique,en,3
Visola Tangirova,uz,N
Visola Tangirova,ru,3
Visola Tangirova,ar,1
WIKIRIR,en,2
WIKIRIR,uz,N
WIKIRIR,ru,3
Wikisurgery94,uz,N
Wknewpages,uz,N
X1d1rova Mun1ra Erknovna,kaa,3
X1d1rova Mun1ra Erknovna,en,3
X1d1rova Mun1ra Erknovna,uz,5
Xasanboy off,uz,N
Ximik1991,uz,N
Ximik1991,tg,3
Ximik1991,ru,2
Ximik1991,en,0
Xusinboy Bekchanov,en,3
Xusinboy Bekchanov,uz,N
Xusinboy Bekchanov,tr,3
Xusinboy Bekchanov,ru,5
