username,language_used,language_level
Account0123456789,zh,N
Account0123456789,en,2
Account0123456789,ja,1
AdomiZ,zh,N
AdomiZ,ja,0
AdomiZ,en,2
Alexander Misel,zh,N
Alexander Misel,en,3
Alexander Misel,lzh,3
Alexander Misel,ja,1
Allervous,fr,1
Allervous,en,2
Allervous,es,1
Allervous,zh,N
Allervous,ja,3
Allspig,zh,3
Allspig,ja,1
Allspig,en,3
Allspig,yue,N
Anarhyroch,ja,2
Anarhyroch,zh,N
Anarhyroch,en,3
Aria Charis,sv,1
Aria Charis,sh,1
Aria Charis,uk,2
Aria Charis,yue,N
Aria Charis,en,4
Aria Charis,zh,3
Aria Charis,ru,1
Artoria2e5,zh-Hant-TW,3
Artoria2e5,zh-Hans-CN,N
Artoria2e5,zh,N
Artoria2e5,en,2
Arxlex,hak,2
Arxlex,zh,N
Arxlex,de,3
Arxlex,yue,2
Arxlex,en,3
Asmend,ko,2
Asmend,eo,3
Asmend,ja,4
Asmend,en,4
Asmend,zh,N
Batty36979,en,2
Batty36979,fr,1
Batty36979,zh,N
Bdgzczy,ja,1
Bdgzczy,la,1
Bdgzczy,en,N
Bdgzczy,zh,N
Bdgzczy,yue,N
Bdgzczy,de,1
Bdgzczy,fr,1
Borschts,zh-Hant,N
Borschts,es,1
Borschts,en,2
C933103,bah,0
C933103,tpi,0
C933103,ko,0
C933103,srn,0
C933103,en,3
C933103,ii,0
C933103,cmn,3
C933103,ryu,0
C933103,yue,N
C933103,mvf,0
C933103,trf,0
C933103,zh-Hant-TW,4
C933103,ang,0
C933103,mnc,0
C933103,gyn,0
C933103,sco,0
C933103,wuu,0
C933103,cdo,0
C933103,ko-KP,0
C933103,ar,0
C933103,lzh,2
C933103,pcm,0
C933103,hak,0
C933103,cpx,0
C933103,kri,0
C933103,nan,0
C933103,zh-Hans,4
C933103,en-GB,3
C933103,mnp,0
C933103,pih,0
C933103,tgh,0
C933103,zh-Hans-MY,3
C933103,zh-Hant-HK,N
C933103,de,0
C933103,simple,2
C933103,hsn,0
C933103,ja,1
C933103,cjy,0
C933103,vi,0
C933103,zh-Hant,4
C933103,ru,0
C933103,zh-Hans-SG,3
C933103,zh-Hant-MO,4
C933103,ain,0
C933103,jam,0
C933103,lir,0
C933103,mn,0
C933103,zh-Hans-CN,4
C933103,gan,0
C933103,hwc,0
C933103,dng,0
C933103,zh,4
Caorui1995,en,3
Caorui1995,zh,N
Celestial Phineas,lzh,2
Celestial Phineas,zh-Hant,4
Celestial Phineas,ja,1
Celestial Phineas,en,3
Celestial Phineas,zh,N
Celestial Phineas,zh-Hans,N
Chelinchan24,en,1
Chelinchan24,zh,N
Croissant33,en,N
Croissant33,ja,1
Croissant33,zh,N
Cxbats,es,2
Cxbats,en,3
Cxbats,nl,1
Cxbats,hi,1
Cxbats,zh,N
Dan310546,nan,N
Dan310546,grc,1
Dan310546,en,2
Dan310546,zh-Hans,3
Dan310546,ja,1
Dan310546,he,0
Dan310546,ar,0
Dan310546,lzh,2
Dan310546,de,0
Dan310546,la,0
Dan310546,zh-Hant,4
Dsh0416,ain,1
Dsh0416,nan,2
Dsh0416,ru,1
Dsh0416,zh,N
Dsh0416,yue,1
Dsh0416,en,3
Dsh0416,ja,2
Dsh0416,vi,1
Dsh0416,fr,1
EMU MLR,zh,2
EMU MLR,en,2
Eric600369,en,2
Eric600369,ja,1
Eric600369,zh,N
Eric600369,asp,1
Fiveapu,en,3
Fiveapu,zh,N
Forbearing Prism,en,4
Forbearing Prism,zh,N
Frank821,en,4
Frank821,lzh,4
Frank821,yue,1
Frank821,ru,1
Frank821,zh,N
Glommy3523,ko,0
Glommy3523,en,2
Glommy3523,zh,N
Gongjianhui,ja,1
Gongjianhui,zh,N
Gongjianhui,yue,1
Gongjianhui,en,2
Guy.Xu,en,1
Guy.Xu,zh,N
Guy.Xu,la,0
Hangs,en,3
Hangs,zh,4
Hangs,yue,N
Hrz2000,ja,1
Hrz2000,en,2
Hrz2000,zh,N
Hrz2000,lzh,3
Hst0129,nan,2
Hst0129,en,2
Hst0129,hak,1
Htw128,en,1
Hx1997,zh,N
Hx1997,en,3
Hx1997,fr,0
ICoud,en,3
ICoud,ja,1
ICoud,zh,N
Iamapighhh,fr,2
Iamapighhh,zh,N
Iamapighhh,en,3
Ib,en,2
Ib,zh-Hans,N
Ib,zh-Hant,5
Inzhrui,yue,2
Inzhrui,ja,1
Inzhrui,en,2
Inzhrui,fr,0
Inzhrui,zh,N
Inzhrui,lzh,1
Inzhrui,zh-Hans,N
Inzhrui,zh-Hant,4
Iridium945,zh,N
Iridium945,yue,1
Iridium945,en,2
Iridium945,ja,0
Ivyxjc,zh,N
Ivyxjc,en,3
Joe123890508,en,1
Joe123890508,yue,1
Joe123890508,zh-Hant-TW,N
Joe123890508,ja,4
Joe123890508,nan,3
Jtlcom,ja,0
Jtlcom,yue,2
Jtlcom,zh,N
Jtlcom,en,2
KHFSKbpcs,yue,N
KHFSKbpcs,zh,N
KHFSKbpcs,ru,1
KHFSKbpcs,en,2
KHFSKbpcs,de,1
KLGPS3,zh,N
KLGPS3,en,1
Kazushim,en,2
Kazushim,zh,N
Krasnaya,zh,N
Krasnaya,ja,2
Krasnaya,it,1
Krasnaya,en,5
Li Song,zh,N
Li Song,en,3
Man muss schweigen,de,1
Man muss schweigen,zh,N
Man muss schweigen,en,3
March happy,fr,0
March happy,el,1
March happy,lzh,3
March happy,en,4
March happy,la,1
March happy,zh,N
March happy,de,2
Mr. TTG,zh,N
Mr. TTG,yue,N
Mr. TTG,en,4
Mr. TTG,ja,1
NACHOgao3,en,2
NACHOgao3,zh-Hans-CN,N
NACHOgao3,es,N
NACHOgao3,zh,N
Number3475,en,3
Number3475,zh,N
Oneworld100,zh-Hans,1
Oneworld100,zh-Hant,N
Oneworld100,yue,N
Oneworld100,en,4
Panintelize,en,2
Panintelize,nan,1
Panintelize,ja,1
Panintelize,zh-Hant-TW,N
PlayerEric1,ja,3
PlayerEric1,zh,N
PlayerEric1,en,3
PlyrStar93,en,4
PlyrStar93,zh,N
Psersaber,en,3
Psersaber,zh,N
Qdjuncheng,ms,1
Qdjuncheng,zh,N
Qdjuncheng,bo,1
Qdjuncheng,en,2
Qdjuncheng,ug,1
Qdjuncheng,ta,1
Qdjuncheng,ko,1
Qmacaw,hak,1
Qmacaw,en,3
Qmacaw,zh-Hans,N
Qmacaw,zh-Hant,4
Qmacaw,fr,0
Rongronggg9,en,3
Rongronggg9,zh-Hant,3
Rongronggg9,ja,2
Rongronggg9,zh,N
Rongronggg9,yue,N
Rongronggg9,zh-Hans,N
Royink,zh-Hant,2
Royink,zh-Hans,N
Royink,zh-Hans-CN,N
Royink,en,1
Royink,ja,2
Royink,cjy,1
Rubyy,ja,0
Rubyy,en,2
Rubyy,zh,N
Schleiden W,de,1
Schleiden W,zh,N
Schleiden W,en,4
Schleiden W,fr,3
Sdtddh,ja,0
Sdtddh,en,2
Sdtddh,zh,N
ShirakamiKaiser,de,0
ShirakamiKaiser,en,3
ShirakamiKaiser,zh-Hant,N
ShirakamiKaiser,zh,N
ShirakamiKaiser,ja,1
ShirakamiKaiser,la,1
ShirakamiKaiser,simple,4
Shizhao,ru,1
Shizhao,zh-Hant,3
Shizhao,zh-Hans,4
Shizhao,ja,0
Shizhao,en,1
Shizhao,zh,N
Sima Sam,vi,1
Sima Sam,en,4
Sima Sam,es,3
Sima Sam,de,1
Sima Sam,lzh,4
Sima Sam,eu,1
