username,language
148LENIN,"[""ca-1""]"
Acomasga,"[""oc-1"", ""ca-N"", ""en-N"", ""es-3"", ""fr-2"", ""gl-2"", ""an-4""]"
Adealeksandra,"[""en-4"", ""es-4"", ""it-3"", ""bg-N"", ""ca-4""]"
Adr mm,"[""ca-5"", ""oc-1"", ""sc-3""]"
Adriaesc,"[""en-3"", ""es-N"", ""ca-N"", ""de-1""]"
Adriens,"[""en-4"", ""es-N"", ""fr-2"", ""ca-N"", ""de-3""]"
AdriánPlaBer,"[""en-3"", ""es-N"", ""ca-N""]"
Agapito,"[""es-N"", ""fr-2"", ""ca-N"", ""en-3""]"
Agm,"[""ca-N""]"
Aidalova,"[""en-2"", ""es-N"", ""fr-0"", ""ca-N""]"
AlKchofa,"[""en-4"", ""es-N"", ""ca-N""]"
Albert SN,"[""it-1"", ""ca-N"", ""oc-1"", ""en-1"", ""pt-1"", ""es-4"", ""fr-1"", ""an-1"", ""gl-1"", ""ast-1""]"
AlbertRA,"[""ca-N"", ""en-2"", ""es-4""]"
AlbertRS,"[""fr-2"", ""it-1"", ""ca-N"", ""oc-1"", ""de-1"", ""pt-1"", ""en-4"", ""es-N""]"
Alexis900,"[""ca-N"", ""en-2"", ""es-N""]"
Algola1989,"[""en-3"", ""es-N"", ""ca-N""]"
Alvaro Vidal-Abarca,"[""es-N"", ""eu-1"", ""ca-N"", ""fr-1"", ""de-2"", ""pt-3"", ""en-3"", ""eo-1""]"
Alyebard,"[""en-4"", ""es-N"", ""fr-2"", ""ca-N""]"
AmaryllisGardener,"[""ca-0"", ""en-N"", ""sco-2""]"
Amire80,"[""en-4"", ""lt-1"", ""eo-2"", ""ru-N"", ""es-2"", ""he-4"", ""am-1"", ""it-2"", ""ca-3"", ""la-1""]"
Andiport,"[""ca-N"", ""en-3"", ""es-N""]"
Andrea Soler i Núñez,"[""ca-N"", ""en-3"", ""es-4"", ""fr-2""]"
Andreadowneyl,"[""en-3"", ""es-N"", ""it-1"", ""ca-N""]"
Andrejavor,"[""pt-1"", ""de-2"", ""en-4"", ""es-N"", ""fr-1"", ""la-2"", ""ca-N""]"
AnnaCo,"[""es-N"", ""fr-1"", ""ca-N"", ""en-4""]"
Annadecorts,"[""it-1"", ""ca-N"", ""de-3"", ""en-5"", ""es-4""]"
Antoni Salvà,"[""en-1"", ""es-4"", ""fr-1"", ""ca-N""]"
Arbocenc,"[""es-N"", ""ca-N"", ""en-1""]"
Arnau Boix,"[""en-2"", ""es-4"", ""ca-N""]"
ArnauGB,"[""ca-N"", ""en-3"", ""es-4"", ""fr-1""]"
Arnaugir,"[""fr-3"", ""it-1"", ""ca-N"", ""ru-1"", ""en-3"", ""eo-2"", ""es-4""]"
Arnaurs,"[""fr-2"", ""ca-N"", ""de-0"", ""en-4"", ""es-5""]"
