username,language
Act,"[""en-3"", ""he-N""]"
Amire80,"[""en-4"", ""he-5"", ""ca-3"", ""ru-N"", ""lt-1"", ""la-1"", ""eo-2"", ""am-1"", ""it-2""]"
Aohana15,"[""he-N"", ""en-3""]"
Aviadhr,"[""en-3"", ""he-N"", ""de-1"", ""yi-1""]"
Bharel,"[""en-4"", ""es-1"", ""he-N""]"
Bustan1498,"[""en-4"", ""he-N"", ""ar-3"", ""es-2""]"
Byc63,"[""he-N"", ""en-5""]"
Carpatianlynx,"[""es-1"", ""he-N"", ""en-4"", ""nl-4""]"
Chaimkapusta,"[""fr-1"", ""en-4"", ""it-2"", ""he-N"", ""es-1""]"
Chenspec,"[""en-2"", ""he-N""]"
Cymelo,"[""ar-1"", ""it-N"", ""yi-1"", ""ru-1"", ""he-N"", ""eo-3"", ""pt-1"", ""fr-2"", ""la-1"", ""de-2"", ""es-3"", ""en-3""]"
Danbus43Maalit72,"[""he-N"", ""en-3""]"
Dot33b,"[""eo-2"", ""he-N"", ""yi-2"", ""nl-1"", ""ar-2"", ""de-2"", ""en-4"", ""sv-1""]"
Dveltz,"[""tr-1"", ""es-5"", ""en-N"", ""el-1"", ""he-N"", ""ar-1"", ""it-2"", ""pt-2"", ""fr-3"", ""ru-4""]"
Eitan.ne,"[""he-N"", ""en-3""]"
Eitan96,"[""he-N"", ""it-2"", ""de-3"", ""en-4"", ""eo-2""]"
Elvenking,"[""ru-N"", ""en-3"", ""he-N"", ""de-1""]"
Eranb,"[""he-N"", ""en-4""]"
Etamar,"[""en-4"", ""he-N""]"
Eyalweyalw,"[""he-N"", ""fr-1"", ""en-3""]"
Galabra,"[""en-4"", ""he-N"", ""ar-2""]"
Gilbuzaglo,"[""he-N"", ""en-3""]"
Haimlevy,"[""he-N"", ""de-3"", ""fr-2"", ""en-4"", ""yi-4""]"
HapHaxion,"[""es-2"", ""en-N""]"
Herrklara,"[""en-5"", ""de-3"", ""he-N"", ""it-N"", ""ca-0""]"
Idanbarir,"[""ar-3"", ""pt-3"", ""fr-2"", ""tr-2"", ""he-N"", ""en-4""]"
Ijon,"[""la-3"", ""he-N"", ""uk-2"", ""en-5""]"
Ladypine,"[""en-3"", ""he-N""]"
Laliv g,"[""en-N"", ""he-N""]"
Laugh Tough,"[""ru-1"", ""he-N"", ""en-4"", ""de-1""]"
Lavis10,"[""de-1"", ""he-N"", ""en-3""]"
Mnaftalis,"[""en-4"", ""fr-N"", ""he-N""]"
Naveto,"[""en-3"", ""he-N""]"
Nimrodbr,"[""en-4"", ""he-N""]"
OHALON,"[""he-N"", ""en-3""]"
Orielno,"[""en-3"", ""he-N""]"
PninaM,"[""en-5"", ""he-N""]"
Ravit,"[""he-N"", ""en-3""]"
Reuven gol,"[""he-N"", ""yi-2"", ""en-4""]"
Rickjpelleg,"[""he-N"", ""en-N""]"
Sagi128F17v,"[""en-3"", ""he-4""]"
Sbechler,"[""en-4"", ""de-1"", ""ru-1"", ""he-N""]"
Shayol,"[""en-4"", ""he-N""]"
Sj1mor,"[""es-2"", ""fr-1"", ""en-3"", ""ab-1"", ""eo-3"", ""simple-3"", ""he-N""]"
TalyaNe,"[""en-4"", ""yi-2"", ""fr-1"", ""he-N"", ""la-1"", ""ar-1""]"
The duke,"[""fr-1"", ""no-1"", ""es-1"", ""ja-0"", ""ar-1"", ""en-4"", ""zh-2"", ""he-N""]"
TheNintendoGuy,"[""de-2"", ""ar-1"", ""eo-1"", ""zh-1"", ""en-4"", ""he-N""]"
Tlazar,"[""he-N"", ""en-3""]"
Tommyq,"[""de-2"", ""en-3"", ""he-N""]"
TsurDanino,"[""eo-2"", ""he-N"", ""en-3""]"
UnHommeGesund,"[""fr-4"", ""it-2"", ""ro-1"", ""pl-2"", ""he-N"", ""es-3"", ""nl-1"", ""de-4"", ""ru-2"", ""en-4"", ""sv-1""]"
Veritas94,"[""en-3"", ""he-N"", ""fr-1""]"
Yishaybg,"[""en-3"", ""el-1"", ""he-N""]"
Yshaveh,"[""et-0"", ""he-N"", ""en-3""]"
אביברעם,"[""he-N"", ""en-3""]"
אברהם שוורץ,"[""yi-4"", ""he-N"", ""en-1""]"
אודוני,"[""he-N"", ""en-4""]"
אליהו52ק,"[""en-3"", ""he-N"", ""ru-0"", ""de-1"", ""yi-1""]"
בר שרמטיוק,"[""he-N"", ""en-3""]"
גיא אביב,"[""he-N"", ""ar-1"", ""en-3""]"
דוד שי,"[""en-3"", ""he-N""]"
דולב,"[""he-N"", ""en-4""]"
חברהסודית,"[""he-N"", ""en-3""]"
יונה בנדלאק,"[""fr-4"", ""en-3"", ""he-N""]"
ילד מסכן וחכם,"[""he-N"", ""ar-0"", ""ro-0"", ""pl-0"", ""ms-0"", ""en-0"", ""hu-0"", ""fr-0"", ""it-0"", ""bg-0"", ""ru-0"", ""es-0""]"
ליבליך,"[""en-4"", ""he-N"", ""fr-1""]"
ליזה ברסלר,"[""en-4"", ""he-N""]"
מיכאל.צבאן,"[""he-N"", ""es-1"", ""en-3""]"
מקף,"[""en-3"", ""he-N""]"
נדב ס,"[""es-1"", ""zh-1"", ""eo-2"", ""en-5"", ""he-N""]"
סיון ל,"[""he-N"", ""ar-3"", ""en-4"", ""fa-3"", ""fr-2"", ""ur-2"", ""tr-1""]"
עמד,"[""he-N"", ""en-1""]"
רונאלדיניו המלך,"[""ar-1"", ""he-N"", ""en-5""]"
תום רגב,"[""en-3"", ""he-N"", ""ru-2""]"
