username,language
Angist,"[""en-2"", ""is-N""]"
Apakall,"[""en-4"", ""is-N""]"
Aronlogi,"[""de-2"", ""en-4"", ""is-N"", ""da-2""]"
Berserkur,"[""fo-1"", ""is-N"", ""sv-2"", ""en-3"", ""es-2""]"
Bouzinac,"[""is-0""]"
Dagvidur,"[""en-3"", ""is-N""]"
Heimasími,"[""da-2"", ""de-2"", ""en-3"", ""is-N""]"
Jóhannesbjarki,"[""is-N""]"
LinusOrri,"[""sv-3"", ""da-2"", ""en-4"", ""is-N""]"
Maxí,"[""fr-2"", ""is-4"", ""pl-1"", ""da-3"", ""en-N"", ""fo-1""]"
MurasakiLizard,"[""en-3"", ""is-N"", ""ja-1""]"
Olikristinn,"[""da-3"", ""de-2"", ""en-5"", ""is-N"", ""no-1""]"
Snævar,"[""fr-2"", ""is-N"", ""da-3"", ""en-4"", ""es-2"", ""fo-1""]"
Stalfur,"[""fo-1"", ""af-1"", ""nn-1"", ""fr-1"", ""da-1"", ""no-1"", ""de-1"", ""is-N"", ""en-4"", ""sv-1"", ""it-1"", ""es-1"", ""nl-1""]"
Svarði2,"[""is-N"", ""no-1"", ""sv-1"", ""da-2"", ""en-3""]"
Tobias Auffenberg,"[""de-N"", ""is-4""]"
Íslenski Frjálsi Vefurinn,"[""da-2"", ""de-2"", ""en-4"", ""fo-2"", ""is-N""]"
Óskadddddd,"[""en-3"", ""is-N""]"
