username,language
-Gianpaolo,"[""it-N"", ""la-0"", ""en-4"", ""eo-1"", ""es-2""]"
-Luzerne-,"[""de-1"", ""en-4"", ""fr-3"", ""it-N"", ""zh-1""]"
.mau.,"[""de-2"", ""en-3"", ""it-N"", ""la-1""]"
12Akragas12,"[""es-2"", ""it-N"", ""scn-N"", ""en-2""]"
2000nic,"[""fr-1"", ""it-N"", ""la-2"", ""en-4"", ""es-2""]"
2zita2,"[""en-4"", ""es-2"", ""fr-4"", ""it-N"", ""de-4""]"
31NOVA,"[""fr-N"", ""it-2"", ""de-0"", ""ja-1"", ""en-4"", ""eo-1"", ""es-0""]"
3Pappa3,"[""en-2"", ""fr-1"", ""it-N"", ""la-1""]"
ATerra99,"[""en-3"", ""fr-1"", ""it-N""]"
Accurimbono,"[""it-N"", ""la-1"", ""en-3"", ""fr-1""]"
AchilleT,"[""it-3"", ""en-3"", ""fr-N""]"
Adert,"[""en-2"", ""it-N""]"
Aethelfirth,"[""fr-2"", ""it-N"", ""scn-N"", ""de-2"", ""en-4"", ""es-4""]"
Agilix,"[""en-3"", ""it-N""]"
AlMo18,"[""es-2"", ""it-N"", ""de-1"", ""en-3""]"
AlbertoPanza62,"[""it-N""]"
AlbyConversi,"[""it-N"", ""kr-1"", ""en-4"", ""fr-1""]"
Albysprx,"[""en-2"", ""it-N""]"
Aldolat,"[""en-3"", ""it-N""]"
Alee3040,"[""en-2"", ""fr-2"", ""it-N"", ""la-2""]"
AlessandraNicolini,"[""en-3"", ""it-N"", ""ja-3""]"
Alessandro.colombo.2,"[""it-N"", ""lmo-2"", ""en-4"", ""es-1"", ""fr-3""]"
AlessandroAM,"[""en-3"", ""es-2"", ""fr-1"", ""it-N"", ""scn-4""]"
AlessioMela,"[""en-3"", ""fr-1"", ""it-N"", ""la-1""]"
Alestel98,"[""it-N"", ""en-3"", ""es-1"", ""fr-1""]"
Alex Arnz,"[""en-3"", ""es-1"", ""fr-1"", ""he-1"", ""it-N"", ""de-N""]"
Alexander 5502,"[""en-3"", ""es-2"", ""it-N""]"
Alfa1981,"[""en-2"", ""es-1"", ""fr-2"", ""it-N"", ""de-2""]"
Alfaveyron,"[""en-2"", ""fr-2"", ""it-N""]"
Aliochka,"[""it-N"", ""en-3"", ""es-3"", ""fr-3""]"
Alispezzate,"[""es-1"", ""it-N"", ""en-2""]"
Allstar89,"[""it-N"", ""en-3"", ""fr-2""]"
Amalia De Luigi,"[""de-2"", ""en-3"", ""es-1"", ""fr-1"", ""it-N""]"
AmaliaMM,"[""fr-3"", ""it-N""]"
Ambra75,"[""en-5"", ""fr-1"", ""it-5"", ""la-3"", ""bg-N"", ""ru-2"", ""de-2""]"
Amire80,"[""ru-N"", ""it-2"", ""en-4"", ""la-1"", ""eo-2"", ""lt-1"", ""es-2"", ""oc-1"", ""fr-1"", ""am-1"", ""pt-1"", ""he-4"", ""ca-3""]"
Amivaleo,"[""it-N""]"
Amux,"[""pt-2"", ""en-3"", ""it-N""]"
AndaPik,"[""en-2"", ""es-1"", ""it-N""]"
Andonnie,"[""en-2"", ""it-N"", ""la-1""]"
Andrea 1204,"[""fr-1"", ""it-N"", ""en-2""]"
Andrejevic,"[""nap-N"", ""sr-1"", ""zh-3"", ""en-N"", ""it-N""]"
AndréasTTT,"[""en-3"", ""it-N""]"
Angola,"[""en-1"", ""fr-2"", ""it-N""]"
Angy24,"[""en-3"", ""it-N""]"
AnisKoutsi,"[""de-0"", ""el-2"", ""en-3"", ""it-3"", ""sq-N""]"
Antal,"[""fr-4"", ""hu-3"", ""it-N"", ""de-1"", ""en-2"", ""es-2""]"
Antenor81,"[""it-N"", ""ru-3""]"
AntoWeb,"[""en-3"", ""it-N"", ""pt-2""]"
Antonella Nigro,"[""en-2"", ""es-3"", ""it-N"", ""la-1""]"
Antonio Caruso,"[""it-N""]"
Aplateofraviolas,"[""fr-1"", ""it-N"", ""de-1"", ""en-2"", ""es-2""]"
Arancia22,"[""en-2"", ""it-N""]"
Archeolucia,"[""fr-3"", ""it-N"", ""de-1"", ""en-3""]"
Archignere,"[""fr-1"", ""it-N"", ""la-1"", ""en-4"", ""es-1""]"
Arosio Stefano,"[""en-2"", ""it-N""]"
Artafinde,"[""it-N"", ""ja-1"", ""en-3"", ""fr-2""]"
Artisto,"[""en-3"", ""fr-4"", ""he-1"", ""it-N""]"
Arturo94,"[""en-5"", ""es-1"", ""fr-3"", ""it-N""]"
Asgaw,"[""it-N"", ""en-2"", ""fr-1""]"
