username,language
AKJ GOWDA,"[""en-2"", ""ml-3"", ""kn-N"", ""tcy-1""]"
Chandanv89,"[""hi-2"", ""ml-1"", ""en-3"", ""ta-1"", ""te-1"", ""sa-1"", ""ur-1"", ""kn-N""]"
Lokesha Kunchadka,"[""kn-N"", ""ml-1"", ""en-4"", ""tcy-4""]"
Mahaveer Indra,"[""tcy-4"", ""en-1"", ""kn-4""]"
Manjappabg,"[""en-4"", ""sa-5"", ""kn-N"", ""hi-2""]"
Pavanaja,"[""tcy-4"", ""kn-N"", ""hi-2"", ""ml-1"", ""en-4""]"
Pranavshivakumar,"[""hi-2"", ""kn-N"", ""en-4""]"
Prnhdl,"[""en-2"", ""kn-N"", ""hi-2""]"
Soorya Hebbar,"[""kn-4"", ""sa-5"", ""hi-2"", ""tcy-2"", ""en-1""]"
ಮಲ್ನಾಡಾಚ್ ಕೊಂಕ್ಣೊ,"[""kn-4"", ""hi-2"", ""mr-1"", ""en-3"", ""sa-1""]"
