username,language
4ing,"[""nn-2"", ""en-3""]"
90sveped,"[""en-3"", ""is-1"", ""nn-3"", ""da-3"", ""ru-2"", ""de-2"", ""sv-3""]"
AFNDG,"[""sv-2"", ""de-2"", ""en-3"", ""fi-2"", ""nn-3"", ""no-N"", ""da-2""]"
Ahhh25,"[""nn-2"", ""no-N"", ""da-2"", ""sv-1"", ""de-1"", ""en-2""]"
Aleksander Grønnestad (WMNO),"[""en-3"", ""nn-2"", ""no-N"", ""de-1""]"
Alex1611,"[""no-4"", ""da-1"", ""ru-1"", ""de-2"", ""sv-2"", ""en-4"", ""is-0"", ""nn-N""]"
Apple farmer,"[""en-2"", ""nn-2"", ""no-N"", ""sv-1"", ""da-1"", ""de-1""]"
Aremeriel,"[""no-N"", ""en-4"", ""fr-2""]"
Asav,"[""pt-1"", ""de-N"", ""en-N"", ""fr-2"", ""la-1""]"
Avilena,"[""en-3"", ""nn-4"", ""no-N"", ""de-2""]"
BjørnN,"[""nn-2"", ""no-N"", ""sv-1"", ""da-1"", ""de-4"", ""en-2""]"
Bksm,"[""nn-N"", ""no-N"", ""sv-2"", ""da-2"", ""de-2"", ""en-3""]"
BoholMappingAndRoutes,"[""it-0"", ""ia-0"", ""en-N"", ""no-1"", ""jv-0"", ""id-1"", ""eo-0"", ""pt-0"", ""af-0"", ""ms-1"", ""ie-0"", ""es-0"", ""simple-N"", ""ceb-2"", ""io-0"", ""fo-1"", ""sv-1"", ""da-1"", ""nl-0"", ""is-1"", ""fr-0"", ""tl-1"", ""de-0"", ""nn-0""]"
Cavernia,"[""de-1"", ""en-2""]"
Danieama,"[""nn-4"", ""se-1"", ""sv-3"", ""da-2"", ""en-4""]"
Danmichaelo,"[""en-3"", ""ru-1"", ""ar-1"", ""de-1""]"
Debussylaan,"[""en-3"", ""no-N""]"
Deggro,"[""en-3"", ""fr-2"", ""it-1"", ""no-1"", ""de-4""]"
Desoda,"[""en-3"", ""nn-2"", ""no-N""]"
Dizzi90,"[""en-4"", ""nn-1"", ""no-N"", ""de-2""]"
