username,language
AryamanA,"[""en-N"", ""hi-N"", ""gu-1"", ""zh-2"", ""es-1"", ""sa-1"", ""pa-2""]"
Baljeet Bilaspur,"[""pa-N"", ""en-2"", ""hi-2""]"
Benipal hardarshan,"[""hi-4"", ""pa-N"", ""en-N""]"
Charan Gill,"[""pa-N""]"
Dr.klara,"[""en-4"", ""hi-3"", ""pa-N""]"
Dugal harpreet,"[""pa-N""]"
Guglani,"[""de-1"", ""pa-N"", ""ru-1"", ""en-4"", ""hi-4""]"
Gurlal Maan,"[""pa-N"", ""en-2"", ""hi-2""]"
Harvinder Chandigarh,"[""ur-3"", ""en-3"", ""pa-N"", ""hi-4"", ""pnb-3""]"
Jagseer S Sidhu,"[""en-2"", ""hi-2"", ""pa-N""]"
Jagvir Kaur,"[""pa-N""]"
Kamal samaon,"[""hi-2"", ""pa-N"", ""en-2""]"
Mulkh Singh,"[""pa-N"", ""hi-4"", ""en-1"", ""ur-1""]"
Ninder Brar Farmer,"[""pa-N"", ""en-2"", ""hi-2""]"
Nirmal Brar Faridkot,"[""ur-4"", ""pa-N"", ""en-4"", ""hi-4"", ""fa-1""]"
Nitesh Gill,"[""pa-N""]"
Param munde,"[""en-4"", ""hi-4"", ""pa-N""]"
Parveer Grewal,"[""pa-N"", ""hi-2"", ""en-3""]"
Raman Deep,"[""en-2"", ""hi-2"", ""pa-N""]"
Satdeep Gill,"[""pnb-4"", ""fr-3"", ""hi-3"", ""pa-N"", ""es-2"", ""fa-1"", ""ur-3"", ""en-4""]"
Satpal Dandiwal,"[""hi-2"", ""mr-1"", ""en-3"", ""ne-1"", ""pa-N""]"
Simranjeet Sidhu,"[""pa-N"", ""en-2"", ""hi-2""]"
Tamanpreet Kaur,"[""pa-N""]"
WikiZoomer1,"[""pa-2"", ""hi-2"", ""de-1"", ""en-3""]"
Wikilover90,"[""pa-N"", ""en-4"", ""hi-4""]"
عُثمان,"[""en-N"", ""pnb-2"", ""pa-2""]"
ਜਤਿੰਦਰ ਸਿੰਘ ਮਾਨ,"[""pa-N""]"
