username,language
&,"[""en-3"", ""ru-3""]"
11111ah,"[""en-2"", ""ru-N""]"
12imom,"[""ru-5"", ""tr-2"", ""az-5"", ""en-3""]"
19. autobuss,"[""ru-4"", ""uk-N"", ""de-1"", ""en-2""]"
1kovand1,"[""ru-N"", ""en-3"", ""pl-1""]"
22mirbymirbymirby,"[""de-1"", ""en-4"", ""et-4"", ""ru-N"", ""ar-1""]"
A110022,"[""ru-N"", ""uk-3"", ""cs-4"", ""en-2""]"
A5b,"[""ru-N"", ""en-2""]"
AMY 81-412,"[""en-2"", ""ru-N"", ""uk-N""]"
AVRS,"[""de-1"", ""en-2"", ""eo-1"", ""es-1"", ""ru-N""]"
Ace111,"[""de-2"", ""en-4"", ""fr-1"", ""ru-N""]"
Adam-Yourist,"[""inh-N"", ""ru-4""]"
AdmiralHood,"[""en-2"", ""ru-N""]"
Agafoklea,"[""fr-2"", ""ru-N"", ""de-3"", ""en-4""]"
Agehrg4,"[""ru-N""]"
Ahasheni,"[""ru-N"", ""en-3""]"
Ahatanhel,"[""ru-3"", ""uk-N""]"
Aisford,"[""ja-2"", ""kk-N"", ""ko-3"", ""de-1"", ""ru-N"", ""en-5"", ""zh-1"", ""eo-1""]"
Aita45,"[""lt-1"", ""ru-N"", ""en-3""]"
Akkashka,"[""ba-N"", ""de-3"", ""ru-N""]"
Al-mazeratti,"[""el-1"", ""en-3"", ""es-2"", ""fr-1"", ""is-1"", ""de-0"", ""ru-N""]"
Ales'hon'ne,"[""ru-N"", ""uk-1"", ""be-1"", ""de-1"", ""en-2""]"
Alex Great,"[""en-4"", ""fr-0"", ""ru-N"", ""be-1"", ""uk-2"", ""el-0""]"
Alex long,"[""uk-N"", ""ru-N""]"
Alex1986rus,"[""sr-4"", ""de-3"", ""fr-2"", ""ru-N"", ""sk-3""]"
AlexTref871,"[""en-2"", ""ru-N""]"
AlexZharikov,"[""ru-N""]"
Alexander Porohnyak,"[""ru-N""]"
Alexander Roumega,"[""eo-2"", ""ru-N"", ""uk-2"", ""en-3""]"
Alexei Kopylov,"[""en-3"", ""ru-N""]"
Alexlipetsk48,"[""ru-N""]"
