username,language
User:Olivier LPB,['en-2']
User:Gamesmasterg9,"['ary-0', 'mr-1', 'bn-3', 'hi-4']"
User:Dvermeirre,"['de-1', 'en-5']"
User:Jklamo,"['en-3', 'fr-1']"
User:Calliopejen1,"['fr-1', 'es-3']"
User:Jpbrenna,"['el-2', 'ar-1', 'es-2', 'la-2']"
User:WarKosign,"['en-3', 'he-4']"
User:Appaches,['en-3']
User:IYY,"['ru-3', 'he-3']"
User:CCogdill (WMF),['th-1']
User:AlejandroGallego,"['pt-1', 'fr-2', 'en-4', 'de-2']"
User:Fredericknoronha,"['en-4', 'hi-2', 'mr-1', 'de-0', 'gom-2', 'fr-0', 'pt-1']"
User:Keilana,"['fr-4', 'ko-1', 'es-3', 'ar-2']"
User:Powermelon,['en-3']
User:Antimuonium,"['es-1', 'en-3']"
User:Kurousagi,['en-4']
User:Packare,['en-3']
User:Ziko,"['nl-3', 'en-3', 'fr-1', 'eo-4', 'la-1']"
User:Pensées de Pascal,"['nl-3', 'en-4', 'de-2', 'es-1', 'la-1', 'sk-1']"
User:Anamdas,"['pa-1', 'en-3', 'sa-1']"
User:ProtoplasmaKid,"['pt-2', 'en-3']"
User:CoroneldelNorte,"['en-3', 'fr-1']"
User:Дмитрий Кошелев,"['en-2', 'la-1', 'fr-1']"
User:Wfplb,['en-2']
User:Roriromrack,"['en-4', 'zh-2', 'de-4', 'ja-1', 'fr-2', 'es-2', 'pt-1']"
User:AhmedPS,"['de-1', 'en-3']"
User:Thue,"['de-1', 'sv-1', 'no-1', 'en-3']"
User:Zeorymer,['pt-2']
User:Kges1901,['ru-1']
User:Banfield,['en-3']
User:Jkadavoor,['en-2']
User:Aeroid,"['en-3', 'nds-1']"
User:Miya,['en-2']
User:Kozam,['en-3']
User:Liridon,"['mk-3', 'en-4']"
User:Greenman,"['fr-1', 'xh-1', 'es-1', 'af-3', 'nl-2']"
User:Pcgomes,"['en-4', 'es-3', 'sv-2']"
User:MShefa,"['fa-2', 'es-4']"
User:Koavf,"['pt-1', 'de-1', 'es-2']"
User:Чръный человек,"['cu-1', 'en-2']"
User:Kronhjorten,"['sv-4', 'de-1', 'fr-2', 'es-3']"
User:AragonChristopherR17Z,"['es-3', 'en-5']"
User:OtterAM,['crh-0']
